"","County.Pop","Public.Supply","Domestic.Self","Industry","Irrigation","Aquaculture","Livestock","Mining","Thermoelectric","T.E","Total","County","Percent","Per.Cap"
"49",458.61,56.17,8.16,6.87,74.23,7.68,6.19,0,0,0,159.3,"Sonoma",0.00414683168262707,0.347353960881795
"50",447,116.12,6.4,12.91,1400.65,0.03,79.14,0,0,0,1615.25,"Stanislaus",0.0420475196193557,3.61353467561521
"51",78.93,15.75,1.6,0.01,904.59,0,0.25,0,0,0,922.2,"Sutter",0.0240063287992384,11.6837704294945
"52",56.04,6.73,2.44,0,346.64,55.13,1.37,0,0,0,412.31,"Tehama",0.010733083308625,7.3574232690935
"53",13.02,1.31,0.5,0,21.88,21,0.14,0,0,0,44.83,"Trinity",0.00116699600961815,3.4431643625192
"54",368.02,81.97,7.76,4.95,2247.95,0.55,65.84,0,0,0,2409.02,"Tulare",0.0627106118021485,6.545894244878
"55",54.5,7.08,0.02,0,5.15,20.12,0.39,0,0,0,32.76,"Tuolumne",0.000852794764110877,0.601100917431193
"56",753.2,157.32,0.92,0.4,230.19,12.96,0.84,0,0,0,402.63,"Ventura",0.0104810975541503,0.53455921402018
"57",168.66,40.46,2.51,2.11,982.13,0,0.36,0.44,0,0,1028.01,"Yolo",0.0267607309357028,6.0951618641053
"58",60.22,11.13,1.57,0,358.27,0,1.15,0,0,0,372.12,"Yuba",0.00968687385900304,6.17934241115908
