STATE,STATEFIPS,COUNTYFIPS,FIPS,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-PSDel,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LS-WGWFr,LS-WSWFr,LS-WFrTo,LA-WGWFr,LA-WSWFr,LA-WFrTo,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
CA,06,041,06041,246.960,0.000,246.650,246.650,0.00,0.00,0.00,30.80,0.00,30.80,30.80,0.00,30.80,0.310,0.76,0.05,0.81,19.44,20.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,1.05,3.80,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,0.54,0.69,1.23,0.00,0.00,0.00,0.04,0.06,0.10,0.02,0.00,0.02,0.06,0.06,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.09,0.06,4.15,32.61,0.00,32.61,36.70,0.06,36.76
CA,06,043,06043,18.069,0.732,7.404,8.136,0.41,0.00,0.41,4.12,0.00,4.12,4.53,0.00,4.53,9.933,2.02,0.22,2.24,4.09,6.33,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,2.09,0.00,2.09,0.00,0.00,0.90,0.90,,,,,,,,,,,,,,0.00,0.16,0.21,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,0.00,4.69,4.55,0.00,4.55,9.24,0.00,9.24
CA,06,045,06045,88.161,11.924,45.772,57.696,2.71,0.00,2.71,10.42,0.00,10.42,13.13,0.00,13.13,30.465,3.05,0.03,3.08,15.79,18.87,0.12,0.00,0.12,0.00,0.00,0.00,0.12,0.00,0.12,16.74,24.23,40.97,11.67,13.61,3.97,29.25,,,,,,,,,,,,,,0.00,0.20,0.25,0.45,0.00,0.15,0.15,0.07,0.11,0.18,0.03,0.00,0.03,0.10,0.11,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.89,0.11,23.00,35.11,0.00,35.11,58.00,0.11,58.11
CA,06,047,06047,241.706,16.838,170.252,187.090,9.82,0.00,9.82,99.32,0.00,99.32,109.14,0.00,109.14,54.616,14.01,1.56,15.57,37.93,53.50,0.07,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.07,411.75,1027.93,1439.68,54.70,84.69,385.56,524.95,,,,,,,,,,,,,,0.00,10.33,13.15,23.48,0.66,35.00,35.66,0.44,0.69,1.13,0.17,0.00,0.17,0.61,0.69,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.08,0.69,447.77,1177.13,0.00,1177.13,1624.21,0.69,1624.90
CA,06,049,06049,9.524,1.562,2.342,3.904,0.40,0.00,0.40,0.60,0.00,0.60,1.00,0.00,1.00,5.620,0.81,0.20,1.01,1.80,2.81,0.25,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.25,75.88,230.52,306.40,82.29,0.00,58.61,140.90,,,,,,,,,,,,,,0.00,0.51,0.65,1.16,0.20,3.76,3.96,0.01,0.02,0.03,0.01,0.00,0.01,0.02,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.06,0.02,78.08,235.74,0.00,235.74,313.80,0.02,313.82
CA,06,051,06051,12.509,2.171,7.756,9.927,0.68,0.00,0.68,2.41,0.00,2.41,3.09,0.00,3.09,2.582,0.89,0.15,1.04,2.31,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.76,148.09,194.85,25.83,0.00,0.50,26.33,,,,,,,,,,,,,,0.00,0.05,0.06,0.11,0.00,11.94,11.94,0.04,0.06,0.10,0.01,0.00,0.01,0.05,0.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.42,0.06,48.48,162.66,0.00,162.66,211.08,0.06,211.14
CA,06,053,06053,412.104,24.391,324.055,348.446,6.13,0.00,6.13,81.49,0.00,81.49,87.62,0.00,87.62,63.658,11.82,1.32,13.14,29.38,42.52,0.12,0.00,0.12,0.00,0.00,0.00,0.12,0.00,0.12,413.22,0.00,413.22,147.75,158.19,67.16,373.10,,,,,,,,,,,,,,0.00,0.54,0.70,1.24,0.00,0.00,0.00,0.73,2.74,3.47,0.00,0.00,0.00,0.73,2.74,3.47,0.00,0.00,0.00,0.00,610.38,610.38,0.00,610.38,610.38,1339.35,0.00,0.00,0.00,0.00,610.38,610.38,0.00,610.38,610.38,1339.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432.56,2.74,435.30,83.51,610.38,693.89,516.07,613.12,1129.19
CA,06,055,06055,132.764,5.064,110.027,115.091,0.80,0.00,0.80,17.31,0.00,17.31,18.11,0.00,18.11,17.673,1.33,0.00,1.33,10.89,12.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.15,9.30,31.45,8.98,44.48,0.00,53.46,,,,,,,,,,,,,,0.00,0.07,0.09,0.16,0.00,0.59,0.59,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.35,0.00,24.35,27.40,0.00,27.40,51.75,0.00,51.75
CA,06,057,06057,98.394,13.947,42.981,56.928,4.23,0.00,4.23,13.04,0.00,13.04,17.27,0.00,17.27,41.466,11.81,0.16,11.97,18.15,30.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.73,54.21,58.94,4.01,1.60,11.75,17.36,,,,,,,,,,,,,,0.00,0.05,0.06,0.11,0.00,0.00,0.00,0.20,0.31,0.51,0.08,0.00,0.08,0.28,0.31,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.02,0.31,21.33,67.55,0.00,67.55,88.57,0.31,88.88
CA,06,059,06059,2988.072,372.389,2548.306,2920.695,48.93,0.00,48.93,334.82,0.00,334.82,383.75,0.00,383.75,67.377,4.54,0.51,5.05,211.46,216.51,0.32,0.00,0.32,0.00,0.00,0.00,0.32,0.00,0.32,12.81,0.00,12.81,0.00,7.95,0.00,7.95,,,,,,,,,,,,,,0.00,0.01,0.02,0.03,0.00,0.00,0.00,0.00,10.64,10.64,0.00,0.00,0.00,0.00,10.64,10.64,0.00,0.00,0.00,0.00,305.00,305.00,0.00,305.00,305.00,1723.70,0.00,0.00,0.00,0.00,305.00,305.00,0.00,305.00,305.00,1723.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.61,10.64,77.25,335.35,305.00,640.35,401.96,315.64,717.60
CA,06,061,06061,317.028,116.430,168.380,284.810,28.08,0.00,28.08,40.60,0.00,40.60,68.68,0.00,68.68,32.218,8.29,0.10,8.39,35.37,43.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.66,107.15,130.81,5.46,5.39,14.12,24.97,,,,,,,,,,,,,,0.00,0.21,0.27,0.48,0.03,0.01,0.04,0.27,0.42,0.69,0.10,0.00,0.10,0.37,0.42,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.54,0.42,60.96,148.23,0.00,148.23,208.77,0.42,209.19
CA,06,063,06063,21.477,0.000,18.396,18.396,0.00,0.00,0.00,2.91,0.00,2.91,2.91,0.00,2.91,3.081,0.39,0.39,0.78,3.11,3.89,2.71,0.00,2.71,0.00,0.00,0.00,2.71,0.00,2.71,12.47,57.83,70.30,16.11,0.00,17.82,33.93,,,,,,,,,,,,,,0.00,0.11,0.14,0.25,1.76,0.45,2.21,0.04,0.06,0.10,0.01,0.00,0.01,0.05,0.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.48,0.06,17.54,61.73,0.00,61.73,79.21,0.06,79.27
CA,06,065,06065,1946.419,375.908,1526.461,1902.369,86.05,0.00,86.05,349.41,0.00,349.41,435.46,0.00,435.46,44.050,25.04,2.78,27.82,345.41,373.23,1.17,0.00,1.17,0.00,0.00,0.00,1.17,0.00,1.17,196.48,505.25,701.73,11.91,20.79,156.32,189.02,,,,,,,,,,,,,,0.00,4.18,5.32,9.50,18.44,50.73,69.17,0.00,0.00,0.00,12.60,0.00,12.60,12.60,0.00,12.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.36,0.00,331.36,926.09,0.00,926.09,1257.45,0.00,1257.45
CA,06,067,06067,1363.482,520.890,827.867,1348.757,114.68,0.00,114.68,182.26,0.00,182.26,296.94,0.00,296.94,14.725,3.39,0.00,3.39,134.53,137.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.21,219.62,408.83,26.53,25.62,86.42,138.57,,,,,,,,,,,,,,0.00,1.05,1.34,2.39,51.91,5.52,57.43,5.35,0.00,5.35,0.00,0.00,0.00,5.35,0.00,5.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,365.59,0.00,365.59,408.74,0.00,408.74,774.33,0.00,774.33
CA,06,069,06069,55.936,3.069,40.769,43.838,0.94,0.00,0.94,12.55,0.00,12.55,13.49,0.00,13.49,12.098,3.11,0.35,3.46,5.47,8.93,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,36.51,14.20,50.71,17.03,12.45,8.08,37.56,,,,,,,,,,,,,,0.00,0.32,0.41,0.73,0.00,0.00,0.00,0.00,0.16,0.16,0.86,0.00,0.86,0.86,0.16,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.91,0.16,41.07,28.37,0.00,28.37,69.28,0.16,69.44
CA,06,071,06071,1963.535,370.718,1384.577,1755.295,76.83,0.00,76.83,286.95,0.00,286.95,363.78,0.00,363.78,208.240,11.66,6.01,17.67,258.92,276.59,2.22,0.00,2.22,0.00,0.00,0.00,2.22,0.00,2.22,131.59,0.00,131.59,24.24,3.61,5.36,33.21,,,,,,,,,,,,,,0.00,6.49,8.25,14.74,1.16,1.37,2.53,4.86,18.81,23.67,0.00,0.00,0.00,4.86,18.81,23.67,5.94,0.00,5.94,23.95,0.00,23.95,29.89,0.00,29.89,2057.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.94,0.00,5.94,23.95,0.00,23.95,29.89,0.00,29.89,2057.16,240.75,18.81,259.56,326.53,0.00,326.53,567.28,18.81,586.09
CA,06,073,06073,2933.462,506.763,2416.867,2923.630,74.53,0.00,74.53,355.43,0.00,355.43,429.96,0.00,429.96,9.832,2.74,0.30,3.04,251.19,254.23,0.30,0.00,0.30,0.00,0.00,0.00,0.30,0.00,0.30,24.56,150.88,175.44,14.48,50.83,1.74,67.05,,,,,,,,,,,,,,0.00,0.55,0.70,1.25,0.03,0.04,0.07,1.47,2.27,3.74,0.57,0.01,0.58,2.04,2.28,4.32,0.00,0.00,0.00,0.00,3470.70,3470.70,0.00,3470.70,3470.70,21799.94,0.00,0.00,0.00,0.00,3470.70,3470.70,0.00,3470.70,3470.70,21799.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.18,2.27,106.45,507.92,3470.71,3978.63,612.10,3472.98,4085.08
CA,06,075,06075,739.426,0.000,696.896,696.896,0.00,0.00,0.00,70.75,0.00,70.75,70.75,0.00,70.75,42.530,2.86,0.31,3.17,31.69,34.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,4.84,1.48,6.32,0.09,0.14,0.23,0.03,0.00,0.03,0.12,0.14,0.26,0.00,0.00,0.00,0.00,1587.82,1587.82,0.00,1587.82,1587.82,1130.80,0.00,0.00,0.00,0.00,1587.82,1587.82,0.00,1587.82,1587.82,1130.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.79,0.14,7.93,72.57,1587.82,1660.39,80.36,1587.96,1668.32
CA,06,077,06077,664.116,146.756,424.914,571.670,30.19,0.00,30.19,87.42,0.00,87.42,117.61,0.00,117.61,92.446,17.10,0.00,17.10,98.94,116.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388.57,930.51,1319.08,82.73,173.62,232.94,489.29,,,,,,,,,,,,,,0.00,4.60,5.85,10.45,13.44,0.00,13.44,0.00,5.86,5.86,0.00,0.00,0.00,0.00,5.86,5.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,453.90,5.86,459.76,1023.78,0.00,1023.78,1477.68,5.86,1483.54
CA,06,079,06079,255.478,95.626,120.094,215.720,16.04,0.00,16.04,20.15,0.00,20.15,36.19,0.00,36.19,39.758,4.17,0.00,4.17,33.43,37.60,1.17,0.00,1.17,0.00,0.00,0.00,1.17,0.00,1.17,115.92,6.10,122.02,5.56,61.13,17.51,84.20,,,,,,,,,,,,,,0.00,0.62,0.79,1.41,5.76,0.00,5.76,0.00,2.37,2.37,0.00,0.00,0.00,0.00,2.37,2.37,0.00,0.00,0.00,0.00,2601.01,2601.01,0.00,2601.01,2601.01,18074.26,0.00,0.00,0.00,0.00,2601.01,2601.01,0.00,2601.01,2601.01,18074.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.68,2.37,146.05,27.04,2601.01,2628.05,170.72,2603.38,2774.10
CA,06,081,06081,699.610,229.942,459.883,689.825,48.10,0.00,48.10,96.20,0.00,96.20,144.30,0.00,144.30,9.785,3.25,0.11,3.36,67.86,71.22,1.07,0.00,1.07,0.00,0.00,0.00,1.07,0.00,1.07,1.32,0.87,2.19,2.51,1.67,0.00,4.18,,,,,,,,,,,,,,0.00,0.02,0.03,0.05,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.76,0.15,53.91,97.21,0.00,97.21,150.97,0.15,151.12
CA,06,083,06083,400.762,202.692,191.013,393.705,28.32,0.00,28.32,26.69,0.00,26.69,55.01,0.00,55.01,7.057,3.36,0.67,4.03,40.68,44.71,0.49,0.00,0.49,0.00,0.00,0.00,0.49,0.00,0.49,168.30,3.43,171.73,34.65,94.66,1.44,130.75,,,,,,,,,,,,,,0.00,0.41,0.52,0.93,0.00,0.00,0.00,1.22,6.09,7.31,0.00,0.12,0.12,1.22,6.21,7.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.10,6.09,208.19,31.31,0.12,31.43,233.41,6.21,239.62
CA,06,085,06085,1699.052,112.244,1573.094,1685.338,15.44,0.00,15.44,216.42,0.00,216.42,231.86,0.00,231.86,13.714,12.30,2.70,15.00,120.37,135.37,0.15,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.15,43.58,3.99,47.57,6.59,8.51,0.00,15.10,,,,,,,,,,,,,,0.00,0.23,0.30,0.53,0.08,0.02,0.10,0.29,0.48,0.77,0.11,0.00,0.11,0.40,0.48,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.07,0.48,72.55,223.54,0.00,223.54,295.61,0.48,296.09
CA,06,087,06087,249.666,16.532,219.644,236.176,3.26,0.00,3.26,43.33,0.00,43.33,46.59,0.00,46.59,13.490,12.95,1.45,14.40,17.05,31.45,0.13,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.13,11.48,0.00,11.48,1.24,19.46,0.00,20.70,,,,,,,,,,,,,,0.00,0.04,0.05,0.09,0.00,0.00,0.00,0.34,0.53,0.87,0.13,0.00,0.13,0.47,0.53,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.20,0.53,28.73,44.96,0.00,44.96,73.16,0.53,73.69
CA,06,089,06089,179.904,22.540,112.698,135.238,7.58,0.00,7.58,37.90,0.00,37.90,45.48,0.00,45.48,44.666,3.12,0.62,3.74,39.47,43.21,14.22,0.00,14.22,0.00,0.00,0.00,14.22,0.00,14.22,23.57,120.42,143.99,10.03,4.05,41.61,55.69,,,,,,,,,,,,,,0.00,0.22,0.28,0.50,20.27,6.76,27.03,0.41,0.63,1.04,0.16,0.00,0.16,0.57,0.63,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.39,0.63,70.02,166.14,0.00,166.14,235.53,0.63,236.16
CA,06,091,06091,3.434,1.438,1.001,2.439,0.60,0.00,0.60,0.42,0.00,0.42,1.02,0.00,1.02,0.995,0.82,0.07,0.89,1.29,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.29,41.10,61.39,18.00,0.00,0.00,18.00,,,,,,,,,,,,,,0.00,0.05,0.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.76,0.00,21.76,41.65,0.00,41.65,63.41,0.00,63.41
CA,06,093,06093,45.259,5.991,7.989,13.980,2.80,0.00,2.80,3.74,0.00,3.74,6.54,0.00,6.54,31.279,3.39,2.54,5.93,3.85,9.78,0.92,0.00,0.92,0.00,0.00,0.00,0.92,0.00,0.92,131.13,227.60,358.73,114.57,0.16,41.85,156.58,,,,,,,,,,,,,,0.00,0.49,0.62,1.11,0.00,11.45,11.45,0.04,0.05,0.09,0.01,0.00,0.01,0.05,0.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.77,0.05,138.82,245.96,0.00,245.96,384.73,0.05,384.78
CA,06,095,06095,411.593,165.450,210.743,376.193,28.85,0.00,28.85,36.75,0.00,36.75,65.60,0.00,65.60,35.400,1.71,0.00,1.71,37.47,39.18,0.07,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.07,219.49,179.29,398.78,55.85,3.53,68.99,128.37,,,,,,,,,,,,,,0.00,0.47,0.60,1.07,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.00,0.00,0.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.59,0.67,251.26,216.64,0.00,216.64,467.23,0.67,467.90
CA,06,097,06097,466.477,120.378,243.715,364.093,16.04,0.00,16.04,32.47,0.00,32.47,48.51,0.00,48.51,102.384,7.90,0.04,7.94,55.14,63.08,0.45,0.00,0.45,0.00,0.00,0.00,0.45,0.00,0.45,29.61,16.48,46.09,21.31,44.90,7.52,73.73,,,,,,,,,,,,,,0.00,1.61,2.05,3.66,0.00,6.41,6.41,0.43,0.67,1.10,0.17,0.00,0.17,0.60,0.67,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.04,0.67,56.71,57.62,0.00,57.62,113.66,0.67,114.33
CA,06,099,06099,505.505,38.877,393.088,431.965,22.21,0.00,22.21,224.56,0.00,224.56,246.77,0.00,246.77,73.540,39.93,4.44,44.37,82.63,127.00,0.19,0.00,0.19,0.00,0.00,0.00,0.19,0.00,0.19,259.21,887.75,1146.96,32.96,78.69,291.70,403.35,,,,,,,,,,,,,,0.00,7.99,10.17,18.16,0.20,0.26,0.46,0.35,0.53,0.88,0.14,0.00,0.14,0.49,0.53,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.08,0.53,330.61,1127.32,0.00,1127.32,1457.40,0.53,1457.93
CA,06,101,06101,88.876,18.208,54.093,72.301,4.76,0.00,4.76,14.13,0.00,14.13,18.89,0.00,18.89,16.575,6.47,0.00,6.47,13.48,19.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.05,537.42,807.47,54.90,16.44,169.76,241.10,,,,,,,,,,,,,,0.00,0.09,0.12,0.21,0.04,0.00,0.04,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.41,0.64,282.05,551.67,0.00,551.67,833.08,0.64,833.72
CA,06,103,06103,61.197,17.022,17.022,34.044,3.52,0.00,3.52,3.52,0.00,3.52,7.04,0.00,7.04,27.153,6.63,3.98,10.61,15.75,26.36,1.96,0.00,1.96,0.00,0.00,0.00,1.96,0.00,1.96,191.87,66.76,258.63,33.98,39.27,30.03,103.28,,,,,,,,,,,,,,0.00,0.64,0.82,1.46,0.36,258.13,258.49,0.19,0.30,0.49,0.07,0.00,0.07,0.26,0.30,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.17,0.30,205.47,333.28,0.00,333.28,538.45,0.30,538.75
CA,06,105,06105,13.622,0.000,7.662,7.662,0.00,0.00,0.00,1.12,0.00,1.12,1.12,0.00,1.12,5.960,0.94,0.00,0.94,1.68,2.62,1.04,0.00,1.04,0.00,0.00,0.00,1.04,0.00,1.04,2.86,0.29,3.15,0.10,0.00,1.40,1.50,,,,,,,,,,,,,,0.00,0.03,0.05,0.08,0.00,15.13,15.13,0.08,0.07,0.15,0.02,0.00,0.02,0.10,0.07,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,0.07,5.02,16.61,0.00,16.61,21.56,0.07,21.63
