STATE,STATEFIPS,COUNTYFIPS,FIPS,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-PSDel,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LS-WGWFr,LS-WSWFr,LS-WFrTo,LA-WGWFr,LA-WSWFr,LA-WFrTo,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
CA,06,021,06021,27.759,4.682,11.705,16.387,1.00,0.00,1.00,2.50,0.00,2.50,3.50,0.00,3.50,11.372,1.65,0.66,2.31,5.99,8.30,0.91,0.00,0.91,1.91,0.00,1.91,2.82,0.00,2.82,273.83,456.16,729.99,26.16,84.97,111.80,222.93,,,,,,,,,,,,,,0.00,0.94,1.20,2.14,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.33,0.44,278.77,462.43,0.00,462.43,740.76,0.44,741.20
CA,06,023,06023,128.376,7.048,63.434,70.482,1.30,0.00,1.30,11.72,0.00,11.72,13.02,0.00,13.02,57.894,1.46,1.46,2.92,11.72,14.64,9.73,0.00,9.73,0.00,0.00,0.00,9.73,0.00,9.73,32.59,1.52,34.11,32.72,0.00,3.08,35.80,,,,,,,,,,,,,,0.00,0.91,1.16,2.07,0.00,0.00,0.00,0.11,0.18,0.29,0.04,0.00,0.04,0.15,0.18,0.33,0.00,0.00,0.00,0.00,75.00,75.00,0.00,75.00,75.00,449.85,0.00,0.00,0.00,0.00,75.00,75.00,0.00,75.00,75.00,449.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.10,0.18,46.28,15.90,75.00,90.90,62.00,75.18,137.18
CA,06,025,06025,155.823,28.901,96.338,125.239,7.00,0.00,7.00,23.33,0.00,23.33,30.33,0.00,30.33,30.584,0.05,0.08,0.13,24.14,24.27,0.00,0.00,0.00,1.17,0.00,1.17,1.17,0.00,1.17,20.98,2076.68,2097.66,0.00,15.13,489.13,504.26,,,,,,,,,,,,,,0.00,4.41,1.94,6.35,6.89,0.38,7.27,1.43,0.00,1.43,0.00,0.00,0.00,1.43,0.00,1.43,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.00,0.60,245.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.00,0.60,245.90,40.76,0.00,40.76,2104.18,0.00,2104.18,2144.94,0.00,2144.94
CA,06,027,06027,18.156,1.564,13.294,14.858,0.33,0.00,0.33,2.82,0.00,2.82,3.15,0.00,3.15,3.298,1.34,1.49,2.83,5.77,8.60,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,40.93,20.16,61.09,0.00,0.00,14.90,14.90,,,,,,,,,,,,,,0.00,0.12,0.16,0.28,9.20,3.38,12.58,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.93,0.00,51.93,28.50,0.00,28.50,80.43,0.00,80.43
CA,06,029,06029,756.825,151.277,550.853,702.130,67.07,0.00,67.07,244.21,0.00,244.21,311.28,0.00,311.28,54.695,17.78,1.98,19.76,111.19,130.95,0.24,0.00,0.24,1.24,0.00,1.24,1.48,0.00,1.48,956.21,1267.54,2223.75,62.18,383.85,383.03,829.06,,,,,,,,,,,,,,0.00,4.06,5.16,9.22,4.12,0.00,4.12,5.67,88.27,93.94,0.00,0.00,0.00,5.67,88.27,93.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1055.15,88.27,1143.42,1520.13,0.00,1520.13,2575.28,88.27,2663.55
CA,06,031,06031,143.420,10.130,102.425,112.555,4.98,0.00,4.98,50.35,0.00,50.35,55.33,0.00,55.33,30.865,5.40,0.60,6.00,18.11,24.11,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,528.81,776.89,1305.70,0.00,46.96,450.04,497.00,,,,,,,,,,,,,,0.00,5.87,7.48,13.35,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,545.09,0.02,545.11,835.32,0.00,835.32,1380.41,0.02,1380.43
CA,06,033,06033,65.147,0.000,31.454,31.454,0.00,0.00,0.00,6.06,0.00,6.06,6.06,0.00,6.06,33.693,1.04,0.00,1.04,6.81,7.85,0.20,0.00,0.20,0.09,0.00,0.09,0.29,0.00,0.29,25.74,11.81,37.55,5.83,10.64,1.67,18.14,,,,,,,,,,,,,,0.00,0.07,0.08,0.15,0.00,0.00,0.00,0.04,0.07,0.11,0.02,0.00,0.02,0.06,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.09,0.07,27.16,18.06,0.00,18.06,45.15,0.07,45.22
CA,06,035,06035,34.751,1.613,12.902,14.515,0.39,0.00,0.39,3.10,0.00,3.10,3.49,0.00,3.49,20.236,3.14,0.90,4.04,6.75,10.79,7.28,0.00,7.28,0.00,0.00,0.00,7.28,0.00,7.28,68.71,145.22,213.93,18.77,0.00,73.23,92.00,,,,,,,,,,,,,,0.00,0.34,0.43,0.77,0.00,17.28,17.28,0.03,0.04,0.07,0.01,0.00,0.01,0.04,0.04,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.89,0.04,79.93,166.94,0.00,166.94,246.83,0.04,246.87
CA,06,037,06037,9935.475,1613.927,7462.349,9076.276,330.68,0.00,330.68,1528.95,0.00,1528.95,1859.63,0.00,1859.63,859.199,10.42,8.68,19.10,1106.66,1125.76,11.67,0.00,11.67,0.00,0.00,0.00,11.67,0.00,11.67,43.80,17.03,60.83,15.49,0.93,3.73,20.15,,,,,,,,,,,,,,0.00,0.13,0.17,0.30,0.03,0.00,0.03,0.55,86.51,87.06,0.00,0.00,0.00,0.55,86.51,87.06,3.90,0.00,3.90,0.00,1768.54,1768.54,3.90,1768.54,1772.44,7181.19,0.00,0.00,0.00,0.00,1768.54,1768.54,0.00,1768.54,1768.54,5893.80,3.90,0.00,3.90,0.00,0.00,0.00,3.90,0.00,3.90,1287.39,401.18,86.51,487.69,1554.83,1768.54,3323.37,1956.01,1855.05,3811.06
CA,06,039,06039,142.788,7.865,79.523,87.388,4.67,0.00,4.67,47.18,0.00,47.18,51.85,0.00,51.85,55.400,8.71,0.97,9.68,19.66,29.34,0.04,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.04,378.43,389.17,767.60,7.97,241.26,45.48,294.71,,,,,,,,,,,,,,0.00,2.47,3.14,5.61,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394.33,0.00,394.33,440.46,0.00,440.46,834.79,0.00,834.79
